driver,warehouses,scale,clients,contention,throughput,abort_rate
monetdbsinglekey,512,1,32,512,0.57,0.93
monetdbsinglekey,512,1,32,256,0.44,0.9
monetdbsinglekey,512,1,32,128,0.62,0.81
monetdbsinglekey,512,1,32,64,0.88,0.81
monetdbsinglekey,512,1,32,32,0.5,0.87
monetdbsinglekey,512,1,32,16,0.72,0.87
monetdbsinglekey,512,1,32,8,0.98,0.77
monetdbsinglekey,512,1,32,4,0.34,0.83
monetdbsinglekey,512,1,32,2,0.62,0.82
monetdbsinglekey,512,1,32,1,0.51,0.82
tique,512,1,32,512,533.49,0.01
tique,512,1,32,256,531.99,0.03
tique,512,1,32,128,525.36,0.06
tique,512,1,32,64,500.39,0.11
tique,512,1,32,32,470.89,0.2
tique,512,1,32,16,424.62,0.35
tique,512,1,32,8,349.65,0.55
tique,512,1,32,4,237.75,0.75
tique,512,1,32,2,120.12,0.88
tique,512,1,32,1,60.79,0.94
postgres,512,1,32,512,1466.07,0.01
postgres,512,1,32,256,1428.45,0.02
postgres,512,1,32,128,1439.38,0.03
postgres,512,1,32,64,1402.59,0.07
postgres,512,1,32,32,1397.13,0.13
postgres,512,1,32,16,1322.27,0.25
postgres,512,1,32,8,1111.77,0.45
postgres,512,1,32,4,801.06,0.69
postgres,512,1,32,2,468.55,0.85
postgres,512,1,32,1,242.29,0.92
singlestore,512,1,32,512,297.26,0.0
singlestore,512,1,32,256,324.41,0.0
singlestore,512,1,32,128,333.85,0.01
singlestore,512,1,32,64,350.59,0.01
singlestore,512,1,32,32,359.24,0.03
singlestore,512,1,32,16,363.22,0.06
singlestore,512,1,32,8,377.31,0.1
singlestore,512,1,32,4,368.04,0.15
singlestore,512,1,32,2,231.82,0.18
singlestore,512,1,32,1,124.64,0.16
tidb-optimistic,512,1,32,512,449.74,0.01
tidb-optimistic,512,1,32,256,444.07,0.01
tidb-optimistic,512,1,32,128,470.31,0.03
tidb-optimistic,512,1,32,64,475.03,0.05
tidb-optimistic,512,1,32,32,454.17,0.1
tidb-optimistic,512,1,32,16,418.45,0.16
tidb-optimistic,512,1,32,8,340.15,0.26
tidb-optimistic,512,1,32,4,247.19,0.33
tidb-optimistic,512,1,32,2,176.09,0.42
tidb-optimistic,512,1,32,1,110.03,0.48
tidb-pessimistic,512,1,32,512,431.61,0.0
tidb-pessimistic,512,1,32,256,437.51,0.0
tidb-pessimistic,512,1,32,128,438.38,0.01
tidb-pessimistic,512,1,32,64,430.5,0.01
tidb-pessimistic,512,1,32,32,460.48,0.02
tidb-pessimistic,512,1,32,16,427.91,0.04
tidb-pessimistic,512,1,32,8,395.34,0.08
tidb-pessimistic,512,1,32,4,333.9,0.12
tidb-pessimistic,512,1,32,2,226.95,0.15
tidb-pessimistic,512,1,32,1,133.08,0.14
