driver,wh,scale,oltp_c,olap_c,oltp_txs,olap_txs,olap_count,olap_duration
monetdbsinglekey,512,1,6,0,0.24,0
monetdbsinglekey,512,1,6,1,0.21,0.085,15.328,220.967
monetdbsinglekey,512,1,6,2,0.2,0.099,17.878,184.595
monetdbsinglekey,512,1,6,3,0.22,0.159,28.677,193.181
monetdbsinglekey,512,1,6,4,0.29,0.171,30.816,219.579
monetdbsinglekey,512,1,6,5,0.26,0.197,35.448,203.994
monetdbsinglekey,512,1,6,6,0.22,0.206,37.166,240.778
tique,512,1,6,0,264.43,0
tique,512,1,6,1,252.13,0.079,14.182,198.135
tique,512,1,6,2,236.72,0.094,16.963,221.242
tique,512,1,6,3,220.1,0.125,22.44,208.174
tique,512,1,6,4,214.62,0.141,25.349,215.79
tique,512,1,6,5,201.62,0.155,27.973,204.401
tique,512,1,6,6,193.02,0.167,29.971,232.444
postgres,512,1,6,0,556.34,0
postgres,512,1,6,1,283.58,0.021,3.692,245.496
postgres,512,1,6,2,210.95,0.049,8.769,560.103
postgres,512,1,6,3,190.48,0.059,10.569,456.336
postgres,512,1,6,4,168.34,0.074,13.351,455.023
postgres,512,1,6,5,159.56,0.078,14.038,471.633
postgres,512,1,6,6,157.62,0.085,15.284,499.909
singlestore,512,1,6,0,216.37,0
singlestore,512,1,6,1,193.13,0.052,9.419,260.395
singlestore,512,1,6,2,162.8,0.084,15.148,211.743
singlestore,512,1,6,3,153.41,0.111,19.954,236.661
singlestore,512,1,6,4,142.15,0.137,24.73,208.65
singlestore,512,1,6,5,114.87,0.161,29.024,200.063
singlestore,512,1,6,6,99.63,0.194,34.997,298.928
tidb,512,1,6,0,148.62,0
tidb,512,1,6,1,140.11,0.075,13.467,185.583
tidb,512,1,6,2,124.04,0.096,17.344,209.218
tidb,512,1,6,3,101.61,0.138,24.808,198.456
tidb,512,1,6,4,81.75,0.163,29.429,191.066
tidb,512,1,6,5,68.28,0.185,33.371,210.684
tidb,512,1,6,6,57.25,0.203,36.567,249.038
