driver,wh,scale,oltp_c,olap_c,oltp_txs,olap_txs,olap_count,olap_duration
monetdbsinglekey,512,1,1,1,2.19,0.039,22,570.224
monetdbsinglekey,512,1,2,2,0.32,0.068,22,321.538
monetdbsinglekey,512,1,4,4,0.24,0.084,22,261.476
monetdbsinglekey,512,1,8,8,0.14,0.091,22,242.684
monetdbsinglekey,512,1,16,16,0.12,0.058,22,379.557
tique,512,1,1,1,53.33,0.026,22,848.129
tique,512,1,2,2,96.01,0.046,22,481.687
tique,512,1,4,4,147.47,0.07,22,314.129
tique,512,1,8,8,223.95,0.093,22,235.963
tique,512,1,16,16,302.77,0.097,22,226.383
postgres,512,1,1,1,81.45,0.006,22,3614.432
postgres,512,1,2,2,163.42,0.011,22,1977.632
postgres,512,1,4,4,213.59,0.02,22,1119.749
postgres,512,1,8,8,291.57,0.02,22,1099.912
postgres,512,1,16,16,353.37,0.012,22,1767.43
singlestore,512,1,1,1,31.15,0.013,22,1752.92
singlestore,512,1,2,2,68.84,0.024,22,912.311
singlestore,512,1,4,4,119.05,0.038,22,582.964
singlestore,512,1,8,8,164.26,0.04,22,554.478
singlestore,512,1,16,16,232.23,0.031,22,702.077
tidb,512,1,1,1,27.75,0.02,22,1082.778
tidb,512,1,2,2,49.52,0.038,22,581.392
tidb,512,1,4,4,83.88,0.044,22,497.816
tidb,512,1,8,8,117.79,0.037,22,591.237
tidb,512,1,16,16,144.69,0.037,22,590.632
