driver,wh,scale,oltp_c,olap_c,oltp_txs,olap_txs,olap_count,olap_duration
monetdbsinglekey,512,1,0,6,0,0.181,22,121.587
monetdbsinglekey,512,1,1,6,0.24,0.177,22,124.03
monetdbsinglekey,512,1,2,6,0.31,0.17,22,129.4
monetdbsinglekey,512,1,3,6,0.22,0.151,22,145.705
monetdbsinglekey,512,1,4,6,0.22,0.146,22,150.562
monetdbsinglekey,512,1,5,6,0.16,0.136,22,161.794
monetdbsinglekey,512,1,6,6,0.18,0.126,22,174.756
tique,512,1,0,6,0,0.165,22,133.633
tique,512,1,1,6,49.74,0.161,22,136.539
tique,512,1,2,6,101.79,0.159,22,137.975
tique,512,1,3,6,134.54,0.156,22,140.915
tique,512,1,4,6,166.42,0.155,22,141.942
tique,512,1,5,6,192.33,0.15,22,146.272
tique,512,1,6,6,252.74,0.15,22,146.369
postgres,512,1,0,6,0,0.047,22,472.098
postgres,512,1,1,6,55.98,0.047,22,472.574
postgres,512,1,2,6,113.05,0.044,22,494.427
postgres,512,1,3,6,159.67,0.044,22,496.753
postgres,512,1,4,6,200.47,0.042,22,518.943
postgres,512,1,5,6,237.46,0.042,22,527.659
postgres,512,1,6,6,272.61,0.04,22,550.869
singlestore,512,1,0,6,0,0.121,22,181.549
singlestore,512,1,1,6,21.53,0.147,22,149.191
singlestore,512,1,2,6,37.67,0.144,22,152.859
singlestore,512,1,3,6,54.13,0.141,22,156.389
singlestore,512,1,4,6,78.01,0.139,22,158.594
singlestore,512,1,5,6,107.58,0.135,22,163.016
singlestore,512,1,6,6,130.95,0.132,22,166.179
tidb,512,1,0,6,0,0.168,22,130.65
tidb,512,1,1,6,17.86,0.162,22,135.956
tidb,512,1,2,6,33.64,0.156,22,141.026
tidb,512,1,3,6,49.26,0.148,22,148.938
tidb,512,1,4,6,62.72,0.146,22,150.656
tidb,512,1,5,6,75.2,0.143,22,154.036
tidb,512,1,6,6,89.88,0.14,22,157.26
